 MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 1.459000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 1.476244E+02, 3.357339E+00, 225.601080, 39.595603, 90.000000
 31844.00138889, 1.529699E+02, 6.702194E+00, 227.238642, 38.012978, 90.000000
 31844.00208333, 1.621424E+02, 1.002518E+01, 228.866144, 36.736816, 90.000000
 31844.00277778, 1.752604E+02, 1.331727E+01, 230.495490, 35.790797, 90.000000
 31844.00347222, 1.923433E+02, 1.656961E+01, 232.139381, 35.189855, 90.000000
 31844.00416667, 2.133129E+02, 1.977347E+01, 233.811089, 34.938159, 90.000000
 31844.00486111, 2.380053E+02, 2.292016E+01, 235.524243, 35.028243, 90.000000
 31844.00555556, 2.661903E+02, 2.600099E+01, 237.292655, 35.441621, 90.000000
 31844.00625000, 2.975943E+02, 2.900739E+01, 239.130221, 36.150827, 90.000000
 31844.00694444, 3.319220E+02, 3.193095E+01, 241.050888, 37.122349, 90.000000
 31844.00763889, 3.688753E+02, 3.476351E+01, 243.068671, 38.319772, 90.000000
 31844.00833333, 4.081671E+02, 3.749722E+01, 245.197717, 39.706529, 90.000000
 31844.00902778, 4.495294E+02, 4.012457E+01, 247.452336, 41.247946, 90.000000
 31844.00972222, 4.927175E+02, 4.263830E+01, 249.847004, 42.912510, 90.000000
 31844.01041667, 5.375106E+02, 4.503143E+01, 252.396261, 44.672484, 90.000000
 31844.01111111, 5.837097E+02, 4.729708E+01, 255.114463, 46.504032, 90.000000
 31844.01180556, 6.311350E+02, 4.942837E+01, 258.015346, 48.387043, 90.000000
 31844.01250000, 6.796225E+02, 5.141841E+01, 261.111356, 50.304789, 90.000000
 31844.01319444, 7.290212E+02, 5.326017E+01, 264.412703, 52.243506, 90.000000
 31844.01388889, 7.791904E+02, 5.494656E+01, 267.926129, 54.191973, 90.000000
 31844.01458333, 8.299984E+02, 5.647057E+01, 271.653448, 56.141113, 90.000000
 31844.01527778, 8.813208E+02, 5.782546E+01, 275.589944, 58.083637, 90.000000
 31844.01597222, 9.330400E+02, 5.900517E+01, 279.722841, 60.013736, 90.000000
 31844.01666667, 9.850448E+02, 6.000471E+01, 284.030147, 61.926817, 90.000000
 31844.01736111, 1.037230E+03, 6.082074E+01, 288.480213, 63.819290, 90.000000
 31844.01805556, 1.089498E+03, 6.145206E+01, 293.032325, 65.688382, 90.000000
 31844.01875000, 1.141754E+03, 6.189999E+01, 297.638511, 67.531989, 90.000000
 31844.01944444, 1.193913E+03, 6.216866E+01, 302.246459, 69.348560, 90.000000
 31844.02013889, 1.245894E+03, 6.226499E+01, 306.803157, 71.136986, 90.000000
 31844.02083333, 1.297622E+03, 6.219844E+01, 311.258655, 72.896530, 90.000000
 31844.02152778, 1.349028E+03, 6.198055E+01, 315.569309, 74.626751, 90.000000
 31844.02222222, 1.400048E+03, 6.162431E+01, 319.700014, 76.327450, 90.000000
 31844.02291667, 1.450624E+03, 6.114352E+01, 323.625237, 77.998627, 90.000000
 31844.02361111, 1.500702E+03, 6.055215E+01, 327.328922, 79.640443, 90.000000
 31844.02430556, 1.550232E+03, 5.986385E+01, 330.803547, 81.253183, 90.000000
 31844.02500000, 1.599168E+03, 5.909151E+01, 334.048691, 82.837237, 90.000000
 31844.02569444, 1.647470E+03, 5.824706E+01, 337.069415, 84.393072, 90.000000
 31844.02638889, 1.695099E+03, 5.734131E+01, 339.874710, 85.921219, 90.000000
 31844.02708333, 1.742020E+03, 5.638388E+01, 342.476141, 87.422253, 90.000000
 31844.02777778, 1.788201E+03, 5.538325E+01, 344.886741, 88.896784, 90.000000
 31844.02847222, 1.833613E+03, 5.434680E+01, 347.120180, 90.345443, 90.000000
 31844.02916667, 1.878228E+03, 5.328093E+01, 349.190149, 91.768876, 90.000000
 31844.02986111, 1.922022E+03, 5.219113E+01, 351.109955, 93.167737, 90.000000
 31844.03055556, 1.964973E+03, 5.108209E+01, 352.892251, 94.542680, 90.000000
 31844.03125000, 2.007058E+03, 4.995782E+01, 354.548889, 95.894352, 90.000000
 31844.03194444, 2.048260E+03, 4.882171E+01, 356.090846, 97.223394, 90.000000
 31844.03263889, 2.088560E+03, 4.767663E+01, 357.528207, 98.530435, 90.000000
 31844.03333333, 2.127941E+03, 4.652499E+01, 358.870186, 99.816089, 90.000000
 31844.03402778, 2.166389E+03, 4.536883E+01, 0.125164, 101.080952, 90.000000
 31844.03472222, 2.203890E+03, 4.420985E+01, 1.300746, 102.325601, 90.000000
 31844.03541667, 2.240430E+03, 4.304947E+01, 2.403823, 103.550595, 90.000000
 31844.03611111, 2.275999E+03, 4.188887E+01, 3.440628, 104.756469, 90.000000
 31844.03680556, 2.310584E+03, 4.072901E+01, 4.416800, 105.943737, 90.000000
 31844.03750000, 2.344177E+03, 3.957069E+01, 5.337445, 107.112890, 90.000000
 31844.03819444, 2.376767E+03, 3.841455E+01, 6.207182, 108.264393, 90.000000
 31844.03888889, 2.408346E+03, 3.726111E+01, 7.030199, 109.398691, 90.000000
 31844.03958333, 2.438907E+03, 3.611077E+01, 7.810296, 110.516200, 90.000000
 31844.04027778, 2.468441E+03, 3.496384E+01, 8.550924, 111.617313, 90.000000
 31844.04097222, 2.496943E+03, 3.382055E+01, 9.255225, 112.702398, 90.000000
 31844.04166667, 2.524405E+03, 3.268105E+01, 9.926061, 113.771797, 90.000000
 31844.04236111, 2.550823E+03, 3.154546E+01, 10.566046, 114.825826, 90.000000
 31844.04305556, 2.576190E+03, 3.041381E+01, 11.177572, 115.864775, 90.000000
 31844.04375000, 2.600503E+03, 2.928611E+01, 11.762830, 116.888907, 90.000000
 31844.04444444, 2.623756E+03, 2.816233E+01, 12.323833, 117.898458, 90.000000
 31844.04513889, 2.645946E+03, 2.704241E+01, 12.862436, 118.893638, 90.000000
 31844.04583333, 2.667068E+03, 2.592625E+01, 13.380346, 119.874628, 90.000000
 31844.04652778, 2.687120E+03, 2.481374E+01, 13.879146, 120.841581, 90.000000
 31844.04722222, 2.706098E+03, 2.370473E+01, 14.360300, 121.794621, 90.000000
 31844.04791667, 2.723999E+03, 2.259908E+01, 14.825168, 122.733842, 90.000000
 31844.04861111, 2.740821E+03, 2.149661E+01, 15.275019, 123.659308, 90.000000
 31844.04930556, 2.756561E+03, 2.039714E+01, 15.711037, 124.571052, 90.000000
 31844.05000000, 2.771217E+03, 1.930047E+01, 16.134330, 125.469073, 90.000000
 31844.05069444, 2.784787E+03, 1.820639E+01, 16.545938, 126.353337, 90.000000
