 MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 1.959000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 1.975458E+02, 3.278826E+00, 225.558180, 39.634778, 90.000000
 31844.00138889, 2.026336E+02, 6.546158E+00, 227.155758, 38.075808, 90.000000
 31844.00208333, 2.113435E+02, 9.793245E+00, 228.745351, 36.806195, 90.000000
 31844.00277778, 2.237806E+02, 1.301163E+01, 230.337885, 35.848888, 90.000000
 31844.00347222, 2.399654E+02, 1.619307E+01, 231.944996, 35.219178, 90.000000
 31844.00416667, 2.598329E+02, 1.932939E+01, 233.578851, 34.922760, 90.000000
 31844.00486111, 2.832426E+02, 2.241248E+01, 235.251988, 34.954743, 90.000000
 31844.00555556, 3.099937E+02, 2.543428E+01, 236.977168, 35.299940, 90.000000
 31844.00625000, 3.398437E+02, 2.838677E+01, 238.767295, 35.934464, 90.000000
 31844.00694444, 3.725276E+02, 3.126207E+01, 240.635381, 36.828224, 90.000000
 31844.00763889, 4.077740E+02, 3.405250E+01, 242.594561, 37.947748, 90.000000
 31844.00833333, 4.453178E+02, 3.675063E+01, 244.658129, 39.258781, 90.000000
 31844.00902778, 4.849089E+02, 3.934925E+01, 246.839578, 40.728297, 90.000000
 31844.00972222, 5.263162E+02, 4.184145E+01, 249.152595, 42.325849, 90.000000
 31844.01041667, 5.693293E+02, 4.422046E+01, 251.610985, 44.024289, 90.000000
 31844.01111111, 6.137575E+02, 4.647964E+01, 254.228479, 45.800015, 90.000000
 31844.01180556, 6.594275E+02, 4.861236E+01, 257.018382, 47.632899, 90.000000
 31844.01250000, 7.061812E+02, 5.061192E+01, 259.993023, 49.506030, 90.000000
 31844.01319444, 7.538725E+02, 5.247154E+01, 263.162963, 51.405360, 90.000000
 31844.01388889, 8.023659E+02, 5.418432E+01, 266.535964, 53.319330, 90.000000
 31844.01458333, 8.515338E+02, 5.574336E+01, 270.115703, 55.238499, 90.000000
 31844.01527778, 9.012562E+02, 5.714196E+01, 273.900341, 57.155214, 90.000000
 31844.01597222, 9.514192E+02, 5.837384E+01, 277.881062, 59.063312, 90.000000
 31844.01666667, 1.001915E+03, 5.943360E+01, 282.040833, 60.957864, 90.000000
 31844.01736111, 1.052641E+03, 6.031715E+01, 286.353677, 62.834963, 90.000000
 31844.01805556, 1.103502E+03, 6.102218E+01, 290.784761, 64.691545, 90.000000
 31844.01875000, 1.154405E+03, 6.154863E+01, 295.291537, 66.525237, 90.000000
 31844.01944444, 1.205266E+03, 6.189897E+01, 299.825956, 68.334240, 90.000000
 31844.02013889, 1.256006E+03, 6.207834E+01, 304.337545, 70.117220, 90.000000
 31844.02083333, 1.306549E+03, 6.209441E+01, 308.776880, 71.873231, 90.000000
 31844.02152778, 1.356826E+03, 6.195709E+01, 313.098887, 73.601642, 90.000000
 31844.02222222, 1.406774E+03, 6.167801E+01, 317.265441, 75.302083, 90.000000
 31844.02291667, 1.456333E+03, 6.126990E+01, 321.246944, 76.974397, 90.000000
 31844.02361111, 1.505449E+03, 6.074603E+01, 325.022817, 78.618597, 90.000000
 31844.02430556, 1.554072E+03, 6.011962E+01, 328.581064, 80.234841, 90.000000
 31844.02500000, 1.602155E+03, 5.940345E+01, 331.917191, 81.823397, 90.000000
 31844.02569444, 1.649656E+03, 5.860952E+01, 335.032796, 83.384626, 90.000000
 31844.02638889, 1.696536E+03, 5.774886E+01, 337.934087, 84.918959, 90.000000
 31844.02708333, 1.742759E+03, 5.683141E+01, 340.630506, 86.426881, 90.000000
 31844.02777778, 1.788292E+03, 5.586604E+01, 343.133554, 87.908923, 90.000000
 31844.02847222, 1.833105E+03, 5.486054E+01, 345.455850, 89.365643, 90.000000
 31844.02916667, 1.877169E+03, 5.382171E+01, 347.610432, 90.797622, 90.000000
 31844.02986111, 1.920460E+03, 5.275543E+01, 349.610246, 92.205452, 90.000000
 31844.03055556, 1.962953E+03, 5.166678E+01, 351.467804, 93.589735, 90.000000
 31844.03125000, 2.004626E+03, 5.056008E+01, 353.194973, 94.951072, 90.000000
 31844.03194444, 2.045460E+03, 4.943906E+01, 354.802852, 96.290059, 90.000000
 31844.03263889, 2.085436E+03, 4.830685E+01, 356.301715, 97.607287, 90.000000
 31844.03333333, 2.124536E+03, 4.716614E+01, 357.701007, 98.903336, 90.000000
 31844.03402778, 2.162745E+03, 4.601918E+01, 359.009363, 100.178772, 90.000000
 31844.03472222, 2.200048E+03, 4.486788E+01,  0.234649, 101.434146, 90.000000
 31844.03541667, 2.236432E+03, 4.371383E+01,  1.384012, 102.669991, 90.000000
 31844.03611111, 2.271884E+03, 4.255837E+01,  2.463937, 103.886823, 90.000000
 31844.03680556, 2.306392E+03, 4.140262E+01,  3.480304, 105.085137, 90.000000
 31844.03750000, 2.339946E+03, 4.024749E+01,  4.438440, 106.265408, 90.000000
 31844.03819444, 2.372536E+03, 3.909374E+01,  5.343175, 107.428089, 90.000000
 31844.03888889, 2.404153E+03, 3.794199E+01,  6.198890, 108.573611, 90.000000
 31844.03958333, 2.434787E+03, 3.679273E+01,  7.009564, 109.702381, 90.000000
 31844.04027778, 2.464432E+03, 3.564635E+01,  7.778813, 110.814786, 90.000000
 31844.04097222, 2.493079E+03, 3.450314E+01,  8.509926, 111.911185, 90.000000
 31844.04166667, 2.520723E+03, 3.336333E+01,  9.205904, 112.991917, 90.000000
 31844.04236111, 2.547357E+03, 3.222709E+01,  9.869485, 114.057293, 90.000000
 31844.04305556, 2.572975E+03, 3.109451E+01, 10.503175, 115.107602, 90.000000
 31844.04375000, 2.597572E+03, 2.996564E+01, 11.109269, 116.143106, 90.000000
 31844.04444444, 2.621143E+03, 2.884049E+01, 11.689874, 117.164043, 90.000000
 31844.04513889, 2.643683E+03, 2.771905E+01, 12.246930, 118.170622, 90.000000
 31844.04583333, 2.665189E+03, 2.660124E+01, 12.782224, 119.163029, 90.000000
 31844.04652778, 2.685656E+03, 2.548699E+01, 13.297407, 120.141420, 90.000000
 31844.04722222, 2.705081E+03, 2.437618E+01, 13.794008, 121.105925, 90.000000
 31844.04791667, 2.723461E+03, 2.326870E+01, 14.273448, 122.056644, 90.000000
 31844.04861111, 2.740793E+03, 2.216438E+01, 14.737046, 122.993648, 90.000000
 31844.04930556, 2.757073E+03, 2.106309E+01, 15.186035, 123.916980, 90.000000
 31844.05000000, 2.772301E+03, 1.996463E+01, 15.621567, 124.826648, 90.000000
 31844.05069444, 2.786472E+03, 1.886883E+01, 16.044722, 125.722631, 90.000000
 31844.05138889, 2.799586E+03, 1.777549E+01, 16.456515, 126.604872, 90.000000
 31844.05208333, 2.811640E+03, 1.668440E+01, 16.857906, 127.473283, 90.000000
 31844.05277778, 2.822633E+03, 1.559536E+01, 17.249799, 128.327736, 90.000000
 31844.05347222, 2.832563E+03, 1.450815E+01, 17.633054, 129.168067, 90.000000
 31844.05416667, 2.841429E+03, 1.342254E+01, 18.008491, 129.994075, 90.000000
 31844.05486111, 2.849229E+03, 1.233830E+01, 18.376889, 130.805515, 90.000000
 31844.05555556, 2.855963E+03, 1.125521E+01, 18.738999, 131.602102, 90.000000
 31844.05625000, 2.861629E+03, 1.017303E+01, 19.095541, 132.383506, 90.000000
 31844.05694444, 2.866228E+03, 9.091512E+00, 19.447211, 133.149349, 90.000000
 31844.05763889, 2.869758E+03, 8.010417E+00, 19.794682, 133.899209, 90.000000
 31844.05833333, 2.872218E+03, 6.929497E+00, 20.138610, 134.632610, 90.000000
 31844.05902778, 2.873608E+03, 5.848505E+00, 20.479638, 135.349026, 90.000000
 31844.05972222, 2.873929E+03, 4.767190E+00, 20.818393, 136.047877, 90.000000
 31844.06041667, 2.873179E+03, 3.685297E+00, 21.155495, 136.728527, 90.000000
 31844.06111111, 2.871359E+03, 2.602572E+00, 21.491556, 137.390283, 90.000000
 31844.06180556, 2.868469E+03, 1.518758E+00, 21.827188, 138.032391, 90.000000
 31844.06250000, 2.864509E+03, 4.335961E-01, 22.162997, 138.654041, 90.000000
 31844.06319444, 2.859480E+03, -6.531728E-01, 22.499594, 139.254358, 90.000000
 31844.06388889, 2.853381E+03, -1.741810E+00, 22.837593, 139.832409, 90.000000
 31844.06458333, 2.846214E+03, -2.832578E+00, 23.177615, 140.387197, 90.000000
 31844.06527778, 2.837978E+03, -3.925740E+00, 23.520291, 140.917667, 90.000000
 31844.06597222, 2.828676E+03, -5.021560E+00, 23.866266, 141.422704, 90.000000
 31844.06666667, 2.818308E+03, -6.120303E+00, 24.216199, 141.901135, 90.000000
 31844.06736111, 2.806874E+03, -7.222232E+00, 24.570770, 142.351737, 90.000000
 31844.06805556, 2.794378E+03, -8.327613E+00, 24.930680, 142.773237, 90.000000
 31844.06875000, 2.780819E+03, -9.436711E+00, 25.296657, 143.164317, 90.000000
 31844.06944444, 2.766200E+03, -1.054979E+01, 25.669459, 143.523625, 90.000000
 31844.07013889, 2.750522E+03, -1.166711E+01, 26.049878, 143.849780, 90.000000
 31844.07083333, 2.733788E+03, -1.278893E+01, 26.438745, 144.141381, 90.000000
 31844.07152778, 2.716001E+03, -1.391551E+01, 26.836933, 144.397020, 90.000000
 31844.07222222, 2.697161E+03, -1.504710E+01, 27.245367, 144.615290, 90.000000
 31844.07291667, 2.677274E+03, -1.618396E+01, 27.665025, 144.794800, 90.000000
 31844.07361111, 2.656341E+03, -1.732633E+01, 28.096947, 144.934184, 90.000000
 31844.07430556, 2.634366E+03, -1.847445E+01, 28.542244, 145.032119, 90.000000
 31844.07500000, 2.611353E+03, -1.962854E+01, 29.002101, 145.087336, 90.000000
 31844.07569444, 2.587306E+03, -2.078883E+01, 29.477792, 145.098628, 90.000000
 31844.07638889, 2.562230E+03, -2.195552E+01, 29.970685, 145.064871, 90.000000
 31844.07708333, 2.536130E+03, -2.312881E+01, 30.482256, 144.985023, 90.000000
 31844.07777778, 2.509010E+03, -2.430888E+01, 31.014102, 144.858141, 90.000000
 31844.07847222, 2.480878E+03, -2.549586E+01, 31.567955, 144.683385, 90.000000
 31844.07916667, 2.451739E+03, -2.668990E+01, 32.145696, 144.460020, 90.000000
 31844.07986111, 2.421600E+03, -2.789110E+01, 32.749376, 144.187418, 90.000000
 31844.08055556, 2.390470E+03, -2.909951E+01, 33.381235, 143.865063, 90.000000
 31844.08125000, 2.358356E+03, -3.031516E+01, 34.043726, 143.492537, 90.000000
 31844.08194444, 2.325268E+03, -3.153801E+01, 34.739540, 143.069525, 90.000000
 31844.08263889, 2.291215E+03, -3.276799E+01, 35.471638, 142.595801, 90.000000
 31844.08333333, 2.256208E+03, -3.400493E+01, 36.243285, 142.071219, 90.000000
 31844.08402778, 2.220259E+03, -3.524858E+01, 37.058085, 141.495703, 90.000000
 31844.08472222, 2.183380E+03, -3.649862E+01, 37.920029, 140.869238, 90.000000
 31844.08541667, 2.145585E+03, -3.775458E+01, 38.833541, 140.191849, 90.000000
 31844.08611111, 2.106889E+03, -3.901588E+01, 39.803538, 139.463598, 90.000000
 31844.08680556, 2.067307E+03, -4.028175E+01, 40.835486, 138.684563, 90.000000
 31844.08750000, 2.026857E+03, -4.155124E+01, 41.935476, 137.854832, 90.000000
 31844.08819444, 1.985558E+03, -4.282319E+01, 43.110296, 136.974485, 90.000000
 31844.08888889, 1.943430E+03, -4.409613E+01, 44.367517, 136.043590, 90.000000
 31844.08958333, 1.900495E+03, -4.536830E+01, 45.715583, 135.062185, 90.000000
 31844.09027778, 1.856777E+03, -4.663754E+01, 47.163904, 134.030278, 90.000000
 31844.09097222, 1.812302E+03, -4.790126E+01, 48.722948, 132.947834, 90.000000
 31844.09166667, 1.767098E+03, -4.915630E+01, 50.404323, 131.814768, 90.000000
 31844.09236111, 1.721194E+03, -5.039890E+01, 52.220850, 130.630945, 90.000000
 31844.09305556, 1.674625E+03, -5.162455E+01, 54.186587, 129.396173, 90.000000
 31844.09375000, 1.627424E+03, -5.282786E+01, 56.316810, 128.110201, 90.000000
 31844.09444444, 1.579630E+03, -5.400245E+01, 58.627886, 126.772720, 90.000000
 31844.09513889, 1.531285E+03, -5.514076E+01, 61.137020, 125.383362, 90.000000
 31844.09583333, 1.482434E+03, -5.623393E+01, 63.861794, 123.941702, 90.000000
 31844.09652778, 1.433124E+03, -5.727164E+01, 66.819449, 122.447260, 90.000000
 31844.09722222, 1.383409E+03, -5.824198E+01, 70.025805, 120.899509, 90.000000
 31844.09791667, 1.333344E+03, -5.913143E+01, 73.493790, 119.297879, 90.000000
 31844.09861111, 1.282992E+03, -5.992487E+01, 77.231522, 117.641765, 90.000000
 31844.09930556, 1.232418E+03, -6.060574E+01, 81.240030, 115.930534, 90.000000
 31844.10000000, 1.181692E+03, -6.115649E+01, 85.510815, 114.163542, 90.000000
 31844.10069444, 1.130893E+03, -6.155909E+01, 90.023622, 112.340140, 90.000000
 31844.10138889, 1.080102E+03, -6.179588E+01, 94.744996, 110.459696, 90.000000
 31844.10208333, 1.029406E+03, -6.185053E+01, 99.628228, 108.521611, 90.000000
 31844.10277778, 9.788996E+02, -6.170908E+01, 104.615164, 106.525341, 90.000000
 31844.10347222, 9.286818E+02, -6.136085E+01, 109.639973, 104.470423, 90.000000
 31844.10416667, 8.788577E+02, -6.079902E+01, 114.634366, 102.356511, 90.000000
 31844.10486111, 8.295370E+02, -6.002092E+01, 119.533315, 100.183407, 90.000000
 31844.10555556, 7.808345E+02, -5.902780E+01, 124.280120, 97.951118, 90.000000
 31844.10625000, 7.328689E+02, -5.782429E+01, 128.829891, 95.659907, 90.000000
 31844.10694444, 6.857623E+02, -5.641759E+01, 133.151070, 93.310369, 90.000000
 31844.10763889, 6.396394E+02, -5.481671E+01, 137.225118, 90.903513, 90.000000
 31844.10833333, 5.946278E+02, -5.303166E+01, 141.044902, 88.440875, 90.000000
 31844.10902778, 5.508574E+02, -5.107289E+01, 144.612385, 85.924631, 90.000000
 31844.10972222, 5.084620E+02, -4.895087E+01, 147.936166, 83.357749, 90.000000
 31844.11041667, 4.675804E+02, -4.667584E+01, 151.029236, 80.744141, 90.000000
 31844.11111111, 4.283596E+02, -4.425778E+01, 153.907122, 78.088835, 90.000000
 31844.11180556, 3.909589E+02, -4.170639E+01, 156.586490, 75.398150, 90.000000
 31844.11250000, 3.555543E+02, -3.903121E+01, 159.084166, 72.679858, 90.000000
 31844.11319444, 3.223439E+02, -3.624177E+01, 161.416521, 69.943329, 90.000000
 31844.11388889, 2.915518E+02, -3.334772E+01, 163.599137, 67.199641, 90.000000
 31844.11458333, 2.634311E+02, -3.035896E+01, 165.646688, 64.461633, 90.000000
 31844.11527778, 2.382627E+02, -2.728568E+01, 167.572971, 61.743914, 90.000000
 31844.11597222, 2.163505E+02, -2.413842E+01, 169.391022, 59.062810, 90.000000
 31844.11666667, 1.980104E+02, -2.092806E+01, 171.113291, 56.436261, 90.000000
 31844.11736111, 1.835544E+02, -1.766571E+01, 172.751810, 53.883694, 90.000000
