MJD, Altitude, Latitude, Longitude, SPS, Alpha
 31844.00000000, 2.959000E+02, 0.000000E+00, 223.942534, 41.454815, 90.000000
 31844.00069444, 2.973985E+02, 3.130088E+00, 225.476447, 39.709827, 90.000000
 31844.00138889, 3.020085E+02, 6.250417E+00, 226.996981, 38.198281, 90.000000
 31844.00208333, 3.098685E+02, 9.353374E+00, 228.512791, 36.945469, 90.000000
 31844.00277778, 3.210614E+02, 1.243158E+01, 230.033157, 35.972713, 90.000000
 31844.00347222, 3.356069E+02, 1.547783E+01, 231.567918, 35.295454, 90.000000
 31844.00416667, 3.534606E+02, 1.848500E+01, 233.127374, 34.921537, 90.000000
 31844.00486111, 3.745187E+02, 2.144603E+01, 234.722182, 34.850109, 90.000000
 31844.00555556, 3.986279E+02, 2.435391E+01, 236.363272, 35.071461, 90.000000
 31844.00625000, 4.255985E+02, 2.720165E+01, 238.061786, 35.567922, 90.000000
 31844.00694444, 4.552175E+02, 2.998235E+01, 239.829058, 36.315601, 90.000000
 31844.00763889, 4.872614E+02, 3.268921E+01, 241.676612, 37.286598, 90.000000
 31844.00833333, 5.215063E+02, 3.531559E+01, 243.616189, 38.451228, 90.000000
 31844.00902778, 5.577360E+02, 3.785498E+01, 245.659770, 39.779914, 90.000000
 31844.00972222, 5.957466E+02, 4.030105E+01, 247.819579, 41.244590, 90.000000
 31844.01041667, 6.353489E+02, 4.264759E+01, 250.108041, 42.819580, 90.000000
 31844.01111111, 6.763691E+02, 4.488842E+01, 252.537667, 44.482042, 90.000000
 31844.01180556, 7.186476E+02, 4.701740E+01, 255.120822, 46.212082, 90.000000
 31844.01250000, 7.620379E+02, 4.902830E+01, 257.869365, 47.992654, 90.000000
 31844.01319444, 8.064044E+02, 5.091480E+01, 260.794104, 49.809339, 90.000000
 31844.01388889, 8.516209E+02, 5.267043E+01, 263.904064, 51.650056, 90.000000
 31844.01458333, 8.975689E+02, 5.428864E+01, 267.205538, 53.504768, 90.000000
 31844.01527778, 9.441366E+02, 5.576288E+01, 270.700970, 55.365194, 90.000000
 31844.01597222, 9.912177E+02, 5.708679E+01, 274.387707, 57.224538, 90.000000
 31844.01666667, 1.038711E+03, 5.825448E+01, 278.256784, 59.077262, 90.000000
 31844.01736111, 1.086522E+03, 5.926082E+01, 282.291909, 60.918875, 90.000000
 31844.01805556, 1.134557E+03, 6.010192E+01, 286.468908, 62.745766, 90.000000
 31844.01875000, 1.182731E+03, 6.077549E+01, 290.755865, 64.555054, 90.000000
 31844.01944444, 1.230962E+03, 6.128124E+01, 295.114125, 66.344466, 90.000000
 31844.02013889, 1.279171E+03, 6.162115E+01, 299.500191, 68.112233, 90.000000
 31844.02083333, 1.327288E+03, 6.179956E+01, 303.868325, 69.857008, 90.000000
 31844.02152778, 1.375242E+03, 6.182312E+01, 308.173503, 71.577792, 90.000000
 31844.02222222, 1.422972E+03, 6.170050E+01, 312.374246, 73.273876, 90.000000
 31844.02291667, 1.470417E+03, 6.144197E+01, 316.434924, 74.944790, 90.000000
 31844.02361111, 1.517523E+03, 6.105892E+01, 320.327234, 76.590265, 90.000000
 31844.02430556, 1.564237E+03, 6.056331E+01, 324.030775, 78.210197, 90.000000
 31844.02500000, 1.610514E+03, 5.996723E+01, 327.532830, 79.804614, 90.000000
 31844.02569444, 1.656310E+03, 5.928245E+01, 330.827554, 81.373658, 90.000000
 31844.02638889, 1.701583E+03, 5.852015E+01, 333.914827, 82.917561, 90.000000
 31844.02708333, 1.746296E+03, 5.769069E+01, 336.798995, 84.436627, 90.000000
 31844.02777778, 1.790415E+03, 5.680356E+01, 339.487655, 85.931220, 90.000000
 31844.02847222, 1.833908E+03, 5.586724E+01, 341.990588, 87.401746, 90.000000
 31844.02916667, 1.876745E+03, 5.488929E+01, 344.318881, 88.848651, 90.000000
 31844.02986111, 1.918899E+03, 5.387635E+01, 346.484241, 90.272401, 90.000000
 31844.03055556, 1.960345E+03, 5.283422E+01, 348.498495, 91.673487, 90.000000
 31844.03125000, 2.001059E+03, 5.176794E+01, 350.373227, 93.052405, 90.000000
 31844.03194444, 2.041021E+03, 5.068187E+01, 352.119549, 94.409663, 90.000000
 31844.03263889, 2.080208E+03, 4.957974E+01, 353.747949, 95.745767, 90.000000
 31844.03333333, 2.118604E+03, 4.846477E+01, 355.268221, 97.061223, 90.000000
 31844.03402778, 2.156191E+03, 4.733969E+01, 356.689428, 98.356530, 90.000000
 31844.03472222, 2.192953E+03, 4.620686E+01, 358.019911, 99.632180, 90.000000
 31844.03541667, 2.228874E+03, 4.506826E+01, 359.267309, 100.888654, 90.000000
 31844.03611111, 2.263942E+03, 4.392557E+01,  0.438596, 102.126418, 90.000000
 31844.03680556, 2.298143E+03, 4.278021E+01,  1.540129, 103.345928, 90.000000
 31844.03750000, 2.331466E+03, 4.163339E+01,  2.577693, 104.547620, 90.000000
 31844.03819444, 2.363899E+03, 4.048610E+01,  3.556550, 105.731916, 90.000000
 31844.03888889, 2.395431E+03, 3.933918E+01,  4.481483, 106.899218, 90.000000
 31844.03958333, 2.426055E+03, 3.819331E+01,  5.356845, 108.049912, 90.000000
 31844.04027778, 2.455759E+03, 3.704908E+01,  6.186597, 109.184360, 90.000000
 31844.04097222, 2.484537E+03, 3.590692E+01,  6.974348, 110.302909, 90.000000
 31844.04166667, 2.512380E+03, 3.476721E+01,  7.723391, 111.405881, 90.000000
 31844.04236111, 2.539282E+03, 3.363023E+01,  8.436731, 112.493578, 90.000000
 31844.04305556, 2.565235E+03, 3.249620E+01,  9.117117, 113.566280, 90.000000
 31844.04375000, 2.590233E+03, 3.136527E+01,  9.767069, 114.624244, 90.000000
 31844.04444444, 2.614271E+03, 3.023754E+01, 10.388895, 115.667705, 90.000000
 31844.04513889, 2.637344E+03, 2.911308E+01, 10.984721, 116.696874, 90.000000
 31844.04583333, 2.659445E+03, 2.799190E+01, 11.556503, 117.711937, 90.000000
 31844.04652778, 2.680572E+03, 2.687399E+01, 12.106045, 118.713056, 90.000000
 31844.04722222, 2.700719E+03, 2.575931E+01, 12.635017, 119.700367, 90.000000
 31844.04791667, 2.719882E+03, 2.464778E+01, 13.144965, 120.673980, 90.000000
 31844.04861111, 2.738058E+03, 2.353932E+01, 13.637327, 121.633977, 90.000000
 31844.04930556, 2.755244E+03, 2.243381E+01, 14.113438, 122.580415, 90.000000
 31844.05000000, 2.771437E+03, 2.133113E+01, 14.574547, 123.513319, 90.000000
 31844.05069444, 2.786632E+03, 2.023113E+01, 15.021820, 124.432685, 90.000000
 31844.05138889, 2.800829E+03, 1.913367E+01, 15.456352, 125.338480, 90.000000
 31844.05208333, 2.814025E+03, 1.803858E+01, 15.879172, 126.230636, 90.000000
 31844.05277778, 2.826217E+03, 1.694567E+01, 16.291250, 127.109054, 90.000000
 31844.05347222, 2.837403E+03, 1.585477E+01, 16.693504, 127.973600, 90.000000
 31844.05416667, 2.847582E+03, 1.476569E+01, 17.086803, 128.824101, 90.000000
 31844.05486111, 2.856753E+03, 1.367822E+01, 17.471976, 129.660349, 90.000000
 31844.05555556, 2.864912E+03, 1.259217E+01, 17.849812, 130.482096, 90.000000
 31844.05625000, 2.872060E+03, 1.150733E+01, 18.221069, 131.289053, 90.000000
 31844.05694444, 2.878196E+03, 1.042347E+01, 18.586474, 132.080886, 90.000000
 31844.05763889, 2.883317E+03, 9.340400E+00, 18.946728, 132.857219, 90.000000
 31844.05833333, 2.887424E+03, 8.257882E+00, 19.302511, 133.617628, 90.000000
 31844.05902778, 2.890515E+03, 7.175698E+00, 19.654481, 134.361639, 90.000000
 31844.05972222, 2.892591E+03, 6.093622E+00, 20.003283, 135.088730, 90.000000
 31844.06041667, 2.893650E+03, 5.011425E+00, 20.349547, 135.798325, 90.000000
 31844.06111111, 2.893693E+03, 3.928877E+00, 20.693894, 136.489793, 90.000000
